,trading_day_end_time_eod
EURGBPV1M BGN Curncy,22:59:59
EURGBP10R1M BGN Curncy,22:59:59
EURGBP10B1M BGN Curncy,22:59:59
EURGBP25R1M BGN Curncy,22:59:59
EURGBP25B1M BGN Curncy,22:59:59
EURGBPV3M BGN Curncy,22:59:59
EURGBP10R3M BGN Curncy,22:59:59
EURGBP10B3M BGN Curncy,22:59:59
EURGBP25R3M BGN Curncy,22:59:59
EURGBP25B3M BGN Curncy,22:59:59
EURGBPV6M BGN Curncy,22:59:59
EURGBP10R6M BGN Curncy,22:59:59
EURGBP10B6M BGN Curncy,22:59:59
EURGBP25R6M BGN Curncy,22:59:59
EURGBP25B6M BGN Curncy,22:59:59
EURGBPV1Y BGN Curncy,22:59:59
EURGBP10R1Y BGN Curncy,22:59:59
EURGBP10B1Y BGN Curncy,22:59:59
EURGBP25R1Y BGN Curncy,22:59:59
EURGBP25B1Y BGN Curncy,22:59:59
EURJPYV1W BGN Curncy,22:59:59
EURJPY10R1W BGN Curncy,22:59:59
EURJPY10B1W BGN Curncy,22:59:59
EURJPY25R1W BGN Curncy,22:59:59
EURJPY25B1W BGN Curncy,22:59:59
EURJPYV1M BGN Curncy,22:59:59
EURJPY10R1M BGN Curncy,22:59:59
EURJPY10B1M BGN Curncy,22:59:59
EURJPY25R1M BGN Curncy,22:59:59
EURJPY25B1M BGN Curncy,22:59:59
EURJPYV3M BGN Curncy,22:59:59
EURJPY10R3M BGN Curncy,22:59:59
EURJPY10B3M BGN Curncy,22:59:59
EURJPY25R3M BGN Curncy,22:59:59
EURJPY25B3M BGN Curncy,22:59:59
EURJPYV6M BGN Curncy,22:59:59
EURJPY10R6M BGN Curncy,22:59:59
EURJPY10B6M BGN Curncy,22:59:59
EURJPY25R6M BGN Curncy,22:59:59
EURJPY25B6M BGN Curncy,22:59:59
EURJPYV1Y BGN Curncy,22:59:59
EURJPY10R1Y BGN Curncy,22:59:59
EURJPY10B1Y BGN Curncy,22:59:59
EURJPY25R1Y BGN Curncy,22:59:59
EURJPY25B1Y BGN Curncy,22:59:59
EURNZDV1W BGN Curncy,22:59:59
EURNZD10R1W BGN Curncy,22:59:59
EURNZD10B1W BGN Curncy,22:59:59
EURNZD25R1W BGN Curncy,22:59:59
EURNZD25B1W BGN Curncy,22:59:59
EURNZDV1M BGN Curncy,22:59:59
EURNZD10R1M BGN Curncy,22:59:59
EURNZD10B1M BGN Curncy,22:59:59
EURNZD25R1M BGN Curncy,22:59:59
EURNZD25B1M BGN Curncy,22:59:59
EURNZDV3M BGN Curncy,22:59:59
EURNZD10R3M BGN Curncy,22:59:59
EURNZD10B3M BGN Curncy,22:59:59
EURNZD25R3M BGN Curncy,22:59:59
EURNZD25B3M BGN Curncy,22:59:59
EURNZDV6M BGN Curncy,22:59:59
EURNZD10R6M BGN Curncy,22:59:59
EURNZD10B6M BGN Curncy,22:59:59
EURNZD25R6M BGN Curncy,22:59:59
EURNZD25B6M BGN Curncy,22:59:59
EURNZDV1Y BGN Curncy,22:59:59
EURNZD10R1Y BGN Curncy,22:59:59
EURNZD10B1Y BGN Curncy,22:59:59
EURNZD25R1Y BGN Curncy,22:59:59
EURNZD25B1Y BGN Curncy,22:59:59
EURUSDV1W BGN Curncy,22:59:59
EURUSD10R1W BGN Curncy,22:59:59
EURUSD10B1W BGN Curncy,22:59:59
EURUSD25R1W BGN Curncy,22:59:59
EURUSD25B1W BGN Curncy,22:59:59
EURUSDV1M BGN Curncy,22:59:59
EURUSD10R1M BGN Curncy,22:59:59
